"C:\Program Files\Java\jdk-14.0.2\bin\java.exe" "-javaagent:C:\Program Files\JetBrains\IntelliJ IDEA Community Edition 2020.2.1\lib\idea_rt.jar=60291:C:\Program Files\JetBrains\IntelliJ IDEA Community Edition 2020.2.1\bin" -Dfile.encoding=UTF-8 -classpath "C:\2020\COS 710\Assignment 3\out\production\Assignment 3" main
[*] Seed: 1602097142198
[*] Seed 0: -7814227017622012563
[*] Seed 1: -3636908275192151479
[*] Seed 2: -5682166438960363473
[*] Seed 3: -6002062466800655291
[*] Seed 4: -6827632935778452896
[*] Seed 5: -1290345994776905549
[*] Seed 6: -2063038326946395871
[*] Seed 7: -703153336915402257
[*] Seed 8: -6218488156403881754
[*] Seed 9: 7374822525437241130
[*] Seed 10: 8096518022915615049
[*] Seed 11: 6571134959326586457
[*] Seed 12: -8109212971942807014
[*] Seed 13: 1952485741356495216
[*] Seed 14: 5778951062587338170
[*] Seed 15: -5877246891329254705
[*] Seed 16: -2886700947041170263
[*] Seed 17: 8426810056473801980
[*] Seed 18: 5521492540553383516
[*] Seed 19: 6389817444317841811
[*] Seed 20: 2459352737174309715
[*] Seed 21: -8724300202042635398
[*] Seed 22: -2121250223738307477
[*] Seed 23: 1976515779818039384
[*] Seed 24: -5016308575194490000
Train test ratio = 238:42
Train test ratio = 223:57
Train test ratio = 237:43
Train test ratio = 233:47
Train test ratio = 230:50
Train test ratio = 239:41
Train test ratio = 251:29
Train test ratio = 237:43
Train test ratio = 230:50
Train test ratio = 229:51
Train test ratio = 237:43
Train test ratio = 239:41
Train test ratio = 244:36
Train test ratio = 235:45
Train test ratio = 243:37
Train test ratio = 246:34
Train test ratio = 244:36
Train test ratio = 235:45
Train test ratio = 234:46
Train test ratio = 237:43
Train test ratio = 242:38
Train test ratio = 236:44
Train test ratio = 247:33
Train test ratio = 237:43
Train test ratio = 234:46
Gen 200 best accuracy: 0.6919831223628692
Gen 200 best accuracy: 0.39330543933054396
Gen 200 best accuracy: 0.6512605042016807
Gen 200 best accuracy: 0.3868312757201646
Gen 200 best accuracy: 0.6826086956521739
Gen 200 best accuracy: 0.34763948497854075
Gen 200 best accuracy: 0.5676855895196506
Gen 200 best accuracy: 0.6681614349775785
Gen 200 best accuracy: 0.6260162601626016
Gen 200 best accuracy: 0.41350210970464135
Gen 200 best accuracy: 0.7008547008547008
Gen 200 best accuracy: 0.46613545816733065
Gen 200 best accuracy: 0.36086956521739133
Gen 200 best accuracy: 0.6497890295358649
Gen 200 best accuracy: 0.371900826446281
Gen 200 best accuracy: 0.3404255319148936
Gen 200 best accuracy: 0.7130801687763713
Gen 200 best accuracy: 0.5106382978723404
Gen 200 best accuracy: 0.6610878661087866
Gen 200 best accuracy: 0.45491803278688525
Gen 200 best accuracy: 0.3813559322033898
Gen 200 best accuracy: 0.6410256410256411
Gen 200 best accuracy: 0.6582278481012658
Gen 400 best accuracy: 0.7257383966244726
Gen 400 best accuracy: 0.5271966527196653
Gen 200 best accuracy: 0.4979757085020243
Gen 200 best accuracy: 0.44672131147540983
Gen 400 best accuracy: 0.591304347826087
