"C:\Program Files\Java\jdk-14.0.2\bin\java.exe" "-javaagent:C:\Program Files\JetBrains\IntelliJ IDEA Community Edition 2020.2.1\lib\idea_rt.jar=61193:C:\Program Files\JetBrains\IntelliJ IDEA Community Edition 2020.2.1\bin" -Dfile.encoding=UTF-8 -classpath "C:\2020\COS 710\Assignment 3\out\production\Assignment 3" main
[*] Seed: 1602102356604
[*] Seed 0: -3984380529384242108
[*] Seed 1: 1280080581612273804
[*] Seed 2: -4058629940956118796
[*] Seed 3: -6985638409341760255
[*] Seed 4: -166751825742637797
[*] Seed 5: 7684482816440371435
[*] Seed 6: 859601721990429993
[*] Seed 7: -7038363543065773471
[*] Seed 8: -4420997911670456950
[*] Seed 9: 2776852830210102366
[*] Seed 10: -7232365757468335406
[*] Seed 11: -89207207418031074
[*] Seed 12: -9187308025945042634
[*] Seed 13: -3353685352641192021
[*] Seed 14: -3346259384735410370
[*] Seed 15: 2211517786401552822
[*] Seed 16: 5536091398981334968
[*] Seed 17: 9098357740673212074
[*] Seed 18: -6411595246821024017
[*] Seed 19: -5689329898607960322
[*] Seed 20: -3000670598070634724
[*] Seed 21: 4567258840736942794
[*] Seed 22: -5691244902296776675
[*] Seed 23: 3060479833737478813
[*] Seed 24: 6012344782592740964
Train test ratio = 236:44
Train test ratio = 236:44
Train test ratio = 247:33
Train test ratio = 236:44
Train test ratio = 245:35
Train test ratio = 247:33
Train test ratio = 232:48
Train test ratio = 239:41
Train test ratio = 233:47
Train test ratio = 236:44
Train test ratio = 244:36
Train test ratio = 235:45
Train test ratio = 239:41
Train test ratio = 239:41
Train test ratio = 236:44
Train test ratio = 236:44
Train test ratio = 247:33
Train test ratio = 235:45
Train test ratio = 238:42
Train test ratio = 240:40
Train test ratio = 237:43
Train test ratio = 241:39
Train test ratio = 239:41
Train test ratio = 233:47
Train test ratio = 242:38
Gen 200 best accuracy: 0.6652360515021459
Gen 200 best accuracy: 0.6396761133603239
Gen 200 best accuracy: 0.6033755274261603
Gen 200 best accuracy: 0.6440677966101694
Gen 200 best accuracy: 0.7090163934426229
Gen 200 best accuracy: 0.652542372881356
Gen 200 best accuracy: 0.6163793103448276
Gen 200 best accuracy: 0.5690376569037657
Gen 200 best accuracy: 0.673728813559322
Gen 200 best accuracy: 0.5805084745762712
Gen 200 best accuracy: 0.680161943319838
Gen 200 best accuracy: 0.5306122448979592
Gen 200 best accuracy: 0.6723404255319149
Gen 200 best accuracy: 0.5910931174089069
Gen 200 best accuracy: 0.6101694915254238
